SiteBlock,SiteBlock2,SiteIDLookUp,Description,RampMain,Direction,LaneNumbs,TotalCapacity,TMPCapacity,RampReroute,DataSource,Cluster,FreeSpeedM,ScM,NM,FreeSpeedD,ScD,ND,DetourPlan,DetourDistance,DetourSpeed,Distance,Speed ,DetourCap,DetourDelay
SH1 Papakura to Manukau NB,SH1 Papakura to Manukau NB,01N20458,SH1 Papakura Interchange NB,Mainline,NB,2,3600,1400,01N40458,Continuous Mar-19,C9,100,80,1.2,55,25,1.4,SH1_33,7.7,40,4.9,105,1200,8.75
SH1 Papakura On Ramp to Drury Off Ramp SB,SH1 Papakura On Ramp to Drury Off Ramp SB,01N10459,SH1 Papakura On Ramp to Drury Off Ramp SB,Mainline,SB,2,3800,1400,01N60458,Any2018-scaled,C9,100,80,1.2,55,25,1.4,SH1_19,6.6,50,5.1,105,1200,5.005714286
SH1 Drury On Ramp to Papakura Off Ramp NB,SH1 Drury On Ramp to Papakura Off Ramp NB,01N20459,SH1 Drury On Ramp to Papakura Off Ramp NB,Mainline,NB,2,3600,1400,01N40462,Any2018-scaled,C9,100,80,1.2,55,25,1.4,SH1_32,7,50,5,105,1200,5.542857143
SH1 Drury to Mill Rd (Bombay) SB,SH1 Drury to Mill Rd (Bombay) SB,01N10462,SH1 Drury Interchange SB,Mainline,SB,2,3600,1400,01N60462,Website Year2014,C9,100,80,1.2,55,25,1.4,SH1_20,6.4,90,5.2,105,1917.391304,1.295238095
SH1 Drury to Papakura NB,SH1 Drury to Papakura NB,01N20462,SH1 Drury Interchange NB,Mainline,NB,2,3600,1400,01N40462,Any2018-scaled,C9,100,80,1.2,55,25,1.4,SH1_32,7,50,5,105,1200,5.542857143
SH1 Drury On Ramp to Ramarama Off Ramp SB,SH1 Drury On Ramp to Ramarama Off Ramp SB,01N10463,SH1 Drury On Ramp to Ramarama Off Ramp SB,Mainline,SB,2,3600,1400,01N60462,Website Year2014,C10,105,90,1.2,80,50,1.1,SH1_20,6.4,90,5.2,105,1917.391304,1.295238095
SH1 Ramarama On Ramp to Drury Off Ramp NB,SH1 Ramarama On Ramp to Drury Off Ramp NB,01N20463,SH1 Ramarama On Ramp to Drury Off Ramp NB,Mainline,NB,2,3600,1400,01N40465,Website Year2014,C10,105,90,1.2,80,50,1.1,SH1_31,6.5,90,5.6,105,1917.391304,1.133333333
SH1 Ramarama Interchange SB,SH1 Ramarama Interchange SB,01N10465,SH1 Ramarama Interchange SB,Mainline,SB,2,3600,1400,01N60465,Website Year2014,C10,105,90,1.2,80,50,1.1,SH1_21,8.4,90,6.8,105,1917.391304,1.714285714
SH1 Ramarama Interchange NB,SH1 Ramarama Interchange NB,01N20465,SH1 Ramarama Interchange NB,Mainline,NB,2,3600,1400,01N40465,Website Year2014,C10,105,90,1.2,80,50,1.1,SH1_31,6.5,90,5.6,105,1917.391304,1.133333333
SH1 Ramarama On Ramp to Mill Rd Off Ramp SB,SH1 Ramarama On Ramp to Mill Rd Off Ramp SB,01N10468,SH1 Ramarama On Ramp to Mill Rd Off Ramp SB,Mainline,SB,2,3600,1400,01N60465,Website Year2014,C10,105,90,1.2,80,50,1.1,SH1_21,8.4,90,6.8,105,1917.391304,1.714285714
SH1 Mill Rd On Ramp to Ramarama Off Ramp NB,SH1 Mill Rd On Ramp to Ramarama Off Ramp NB,01N20468,SH1 Mill Rd On Ramp to Ramarama Off Ramp NB,Mainline,NB,2,3600,1400,01N40471,Website Year2014,C10,105,90,1.2,80,50,1.1,SH1_30,8.4,90,6.9,105,1917.391304,1.657142857
SH1 Mill Rd (Bombay) to Drury NB,SH1 Mill Rd (Bombay) to Drury NB,01N20471,SH1 Mill Rd Interchange NB,Mainline,NB,2,3600,1400,01N40471,Website Year2014,C10,105,90,1.2,80,50,1.1,SH1_30,8.4,90,6.9,105,1917.391304,1.657142857
SH1 Mill Rd (Bombay) to Nikau Rd SB,SH1 Mill Rd (Bombay) to Nikau Rd SB,01N10471,SH1 Mill Rd Interchange SB,Mainline,SB,2,3600,1400,01N60471,Website Year2014,C10,105,90,1.2,80,50,1.1,SH1_22,3.9,90,2.2,105,1572.26087,1.342857143
SH1 Mill Rd On Ramp to Beaver Rd Off Ramp SB,SH1 Mill Rd On Ramp to Beaver Rd Off Ramp SB,01N10472,SH1 Mill Rd On Ramp to Beaver Rd Off Ramp SB,Mainline,SB,2,3600,1400,01N60471,Website Oct-18,C10,105,90,1.2,80,50,1.1,SH1_22,3.9,90,2.2,105,1572.26087,1.342857143
SH1 Beaver Rd On Ramp to Mill Rd Off Ramp NB,SH1 Beaver Rd On Ramp to Mill Rd Off Ramp NB,01N20472,SH1 Beaver Rd On Ramp to Mill Rd Off Ramp NB,Mainline,NB,2,3600,1400,01N40473,Website Oct-18,C10,105,90,1.2,80,50,1.1,SH1_29,8.3,90,2.7,105,1572.26087,3.99047619
SH1 Beaver Rd Interchange SB,SH1 Beaver Rd Interchange SB,01N10473,SH1 Beaver Rd Interchange SB,Mainline,SB,2,3600,1400,01N60473,Website Year2014,C10,105,90,1.2,80,50,1.1,SH1_23,3.2,90,1.6,105,1572.26087,1.219047619
SH1 Beaver Rd Interchange NB,SH1 Beaver Rd Interchange NB,01N20473,SH1 Beaver Rd Interchange NB,Mainline,NB,2,3600,1400,01N40473,Website Year2014,C10,105,90,1.2,80,50,1.1,SH1_29,8.3,90,2.7,105,1572.26087,3.99047619
SH1 Beaver Rd On Ramp to Nikau Rd Off Ramp SB,SH1 Beaver Rd On Ramp to Nikau Rd Off Ramp SB,01N10474,SH1 Beaver Rd On Ramp to Nikau Rd Off Ramp SB,Mainline,SB,2,3600,1400,01N60473,Any2018-scaled,C10,105,90,1.2,80,50,1.1,SH1_23,3.2,90,1.6,105,1572.26087,1.219047619
SH1 Nikau Rd On Ramp to Beaver Rd Off Ramp NB,SH1 Nikau Rd On Ramp to Beaver Rd Off Ramp NB,01N20474,SH1 Nikau Rd On Ramp to Beaver Rd Off Ramp NB,Mainline,NB,2,3600,1400,01N40475,Any2018-scaled,C10,105,90,1.2,80,50,1.1,NA,NA,NA,NA,NA,NA,NA
SH1 Nikau Rd to Pokeno SB,SH1 Nikau Rd to Pokeno SB,01N10475,SH1 Nikau Rd Interchange SB,Mainline,SB,2,3600,1400,01N60475,Any2018-scaled,C10,105,90,1.2,80,50,1.1,SH1_24,7,80,5.4,105,1572.26087,2.164285714
SH1 Nikau Rd to Mill Rd (Bombay) NB,SH1 Nikau Rd to Mill Rd (Bombay) NB,01N20475,SH1 Nikau Rd Interchange NB,Mainline,NB,3,5400,1400,01N40475,Any2018-scaled,C10,105,90,1.2,80,50,1.1,NA,NA,NA,NA,NA,NA,NA
SH1 Nikau Rd On Ramp to Razorback Rd Off Ramp SB,SH1 Nikau Rd On Ramp to Razorback Rd Off Ramp SB,01N19475,SH1 Nikau Rd On Ramp to Razorback Rd Off Ramp SB,Mainline,SB,2,3600,1400,01N60475,Any2018-scaled,C10,105,90,1.2,80,50,1.1,SH1_24,7,80,5.4,105,1572.26087,2.164285714
SH1 Razorback Rd On Ramp to Nikau Rd Off Ramp NB,SH1 Razorback Rd On Ramp to Nikau Rd Off Ramp NB,01N29475,SH1 Razorback Rd On Ramp to Nikau Rd Off Ramp NB,Mainline,NB,3,5400,1400,01N40485,Any2018-scaled,C10,105,90,1.2,80,50,1.1,NA,NA,NA,NA,NA,NA,NA
SH1 Razorback Rd Off Ramp to SH2 Off Ramp SB,SH1 Razorback Rd Off Ramp to SH2 Off Ramp SB,01N10476,SH1 Razorback Rd Off Ramp to SH2 Off Ramp SB,Mainline,SB,2,3600,1400,01N60476,Website Mar-18,C10,105,90,1.2,80,50,1.1,NA,NA,NA,NA,NA,NA,NA
SH1 SH2 On Ramp to Razorback Rd On Ramp NB,SH1 SH2 On Ramp to Razorback Rd On Ramp NB,01N20476,SH1 SH2 On Ramp to Razorback Rd On Ramp NB,Mainline,NB,2,3600,1400,NA,Website Mar-18,C10,105,90,1.2,80,50,1.1,NA,NA,NA,NA,NA,NA,NA
SH1 SH2 Interchange NB,SH1 SH2 Interchange NB,01N20477,SH1 SH2 Interchange NB,Mainline,NB,2,3600,1400,NA,Any2018-scaled,C10,105,90,1.2,80,50,1.1,NA,NA,NA,NA,NA,NA,NA
SH1 SH2 Interchange SB,SH1 SH2 Interchange SB,01N10477,SH1 SH2 Interchange SB,Mainline,SB,2,3600,1400,01N60477,Any2018-scaled,C10,105,90,1.2,80,50,1.1,NA,NA,NA,NA,NA,NA,NA
SH1 Pokeno to Mercer (Koheroa Rd) SB,SH1 Pokeno to Mercer (Koheroa Rd) SB,01N10478,SH1 Region 2/3 Boundary SB,Mainline,SB,2,3600,1400,01N60477,Website Mar-18,C10,105,90,1.2,80,50,1.1,NA,NA,NA,NA,NA,NA,NA
SH1 Region 2/3 Boundary NB,SH1 Region 2/3 Boundary NB,01N20478,SH1 Region 2/3 Boundary NB,Mainline,NB,2,3600,1400,NA,Website Year2014,C10,105,90,1.2,80,50,1.1,NA,NA,NA,NA,NA,NA,NA
SH20A Bader Dr Off Ramp to Hall Ave Footbridge EB,SH20A Bader Dr Off Ramp to Hall Ave Footbridge EB,20A20001,SH20A Bader Dr Off Ramp to Hall Ave Footbridge EB,Mainline,EB,2,3600,1400,NA,Any2018-scaled,C17,100,80,1.4,50,25,1.5,NA,NA,NA,NA,NA,NA,NA
SH20A Hall Ave Footbridge to SH20 On Ramp WB,SH20A Hall Ave Footbridge to SH20 On Ramp WB,20A10001,SH20A Hall Ave Footbridge to SH20 On Ramp WB,Mainline,WB,2,3600,1400,NA,Continuous Mar-19,C17,100,80,1.4,50,25,1.5,NA,NA,NA,NA,NA,NA,NA
SH20A Bader Dr/SH20 to Landing Drive (Boundary) WB,SH20A Bader Dr/SH20 to Landing Drive (Boundary) WB,20A19001,SH20A SH20 On Ramp to Kirkbride Rd Off Ramp WB,Mainline,WB,2,3600,1400,NA,Continuous Mar-19,C17,100,80,1.4,50,25,1.5,NA,NA,NA,NA,NA,NA,NA
SH20A Kirkbride Rd On Ramp to Bader Dr Off Ramp EB,SH20A Kirkbride Rd On Ramp to Bader Dr Off Ramp EB,20A29001,SH20A Kirkbride Rd On Ramp to Bader Dr Off Ramp EB,Mainline,EB,3,5400,1400,NA,Website Year2014,C17,100,80,1.4,50,25,1.5,NA,NA,NA,NA,NA,NA,NA
SH20A Kirkbride Rd Interchange WB,SH20A Kirkbride Rd Interchange WB,20A10002,SH20A Kirkbride Rd Interchange WB,Mainline,WB,2,3600,1400,NA,Continuous Mar-19,C17,100,80,1.4,50,25,1.5,NA,NA,NA,NA,NA,NA,NA
SH20A Kirkbride Rd Interchange EB,SH20A Kirkbride Rd Interchange EB,20A20002,SH20A Kirkbride Rd Interchange EB,Mainline,EB,2,3600,1400,NA,Continuous Mar-19,C17,100,80,1.4,50,25,1.5,NA,NA,NA,NA,NA,NA,NA
SH20A Landing Drive (Boundary) to Bader Dr/SH20 Coronation Rd EB,SH20A Landing Drive (Boundary) to Bader Dr/SH20 Coronation Rd EB,20A20004,SH20A East of Landing Dr EB,Mainline,EB,2,3600,1400,NA,Continuous Year2014,C17,100,80,1.4,50,25,1.5,NA,NA,NA,NA,NA,NA,NA
SH20A East of Landing Dr WB,SH20A East of Landing Dr WB,20A10004,SH20A East of Landing Dr WB,Mainline,WB,2,3600,1400,NA,Continuous Year2014,C17,100,80,1.4,50,25,1.5,NA,NA,NA,NA,NA,NA,NA
SH20B East of Price Rd WB,SH20B East of Price Rd WB,20B00001,SH20B East of Price Rd WB,Mainline,WB,2,3600,1400,NA,Continuous Year2014,C18,90,55,1.5,65,15,1.1,NA,NA,NA,NA,NA,NA,NA
SH16 Grafton Rd Off Ramp WB,SH16 Grafton Rd Off Ramp WB,01660001,SH16 Grafton Rd Off Ramp WB,Ramp,WB,1,584,1400,NA,Any2018-scaled,C5,95,70,1.1,55,15,1.1,NA,NA,NA,NA,NA,NA,NA
SH16 Southern SH1 Off Ramp WB,SH16 Southern SH1 Off Ramp WB,01660002,SH16 Southern SH1 Off Ramp WB,Ramp,WB,1,1400,1400,NA,Website unavailable,C5,95,70,1.1,55,15,1.1,NA,NA,NA,NA,NA,NA,NA
SH16 Wellesley St Off Ramp EB,SH16 Wellesley St Off Ramp EB,01640002,SH16 Wellesley St Off Ramp EB,Ramp,EB,1,1465,1400,NA,Any2018-scaled,C5,95,70,1.1,55,15,1.1,NA,NA,NA,NA,NA,NA,NA
SH16 Southern SH1 Off Ramp EB,SH16 Southern SH1 Off Ramp EB,01640003,SH16 Southern SH1 Off Ramp EB,Ramp,EB,1,1600,1400,NA,Website unavailable,C5,95,70,1.1,55,15,1.1,NA,NA,NA,NA,NA,NA,NA
SH16 Newton Rd Off Ramp EB,SH16 Newton Rd Off Ramp EB,01649004,SH16 Newton Rd Off Ramp EB,Ramp,EB,1,1198,1400,NA,Any2018-scaled,C15,70,25,1.5,40,25,1.5,NA,NA,NA,NA,NA,NA,NA
SH16 St Lukes Rd Off Ramp WB,SH16 St Lukes Rd Off Ramp WB,01660006,SH16 St Lukes Rd Off Ramp WB,Ramp,WB,1,1514,1400,NA,Any2018-scaled,C15,70,25,1.5,40,25,1.5,NA,NA,NA,NA,NA,NA,NA
SH16 St Lukes Rd Off Ramp EB,SH16 St Lukes Rd Off Ramp EB,01640006,SH16 St Lukes Rd Off Ramp EB,Ramp,EB,1,859,1400,NA,Continuous Mar-18,C15,70,25,1.5,40,25,1.5,NA,NA,NA,NA,NA,NA,NA
SH16 Great Nth Rd Off Ramp WB,SH16 Great Nth Rd Off Ramp WB,01660008,SH16 Great Nth Rd Off Ramp WB,Ramp,WB,1,1600,1400,NA,Any2018-scaled,C14,90,35,1.5,50,30,1.5,NA,NA,NA,NA,NA,NA,NA
SH16 Great Nth Rd Off Ramp EB,SH16 Great Nth Rd Off Ramp EB,01640008,SH16 Great Nth Rd Off Ramp EB,Ramp,EB,1,984,1400,NA,Any2018-scaled,C14,90,35,1.5,50,30,1.5,NA,NA,NA,NA,NA,NA,NA
SH16 Rosebank Rd Off Ramp WB,SH16 Rosebank Rd Off Ramp WB,01660009,SH16 Rosebank Rd Off Ramp WB,Ramp,WB,1,814,1400,NA,Continuous Mar-18,C14,90,35,1.5,50,30,1.5,NA,NA,NA,NA,NA,NA,NA
SH16 Patiki Rd Off Ramp EB,SH16 Patiki Rd Off Ramp EB,01640010,SH16 Patiki Rd Off Ramp EB,Ramp,EB,1,916,1400,NA,Any2018-scaled,C14,90,35,1.5,50,30,1.5,NA,NA,NA,NA,NA,NA,NA
SH16 Te Atatu Rd Off Ramp WB,SH16 Te Atatu Rd Off Ramp WB,01660011,SH16 Te Atatu Rd Off Ramp WB,Ramp,WB,1,1600,1400,NA,Continuous Mar-18,C14,90,35,1.5,50,30,1.5,NA,NA,NA,NA,NA,NA,NA
SH16 Te Atatu Rd Off Ramp EB,SH16 Te Atatu Rd Off Ramp EB,01640011,SH16 Te Atatu Rd Off Ramp EB,Ramp,EB,1,1010,1400,NA,Continuous unavailable,C14,90,35,1.5,50,30,1.5,NA,NA,NA,NA,NA,NA,NA
SH16 Lincoln Rd Off Ramp WB,SH16 Lincoln Rd Off Ramp WB,01660013,SH16 Lincoln Rd Off Ramp WB,Ramp,WB,1,1600,1400,NA,Continuous Mar-18,C13,105,40,1.5,55,25,1.1,NA,NA,NA,NA,NA,NA,NA
SH16 Lincoln Rd Off Ramp EB,SH16 Lincoln Rd Off Ramp EB,01640013,SH16 Lincoln Rd Off Ramp EB,Ramp,EB,1,1174,1400,NA,Any2018-scaled,C13,105,40,1.5,55,25,1.1,NA,NA,NA,NA,NA,NA,NA
SH16 Royal Rd Off Ramp WB,SH16 Royal Rd Off Ramp WB,01660015,SH16 Royal Rd Off Ramp WB,Ramp,WB,1,981,1400,NA,Website unavailable,C13,105,40,1.5,55,25,1.1,NA,NA,NA,NA,NA,NA,NA
SH16 Hobsonville Rd Off Ramp WB,SH16 Hobsonville Rd Off Ramp WB,01669017,SH16 Hobsonville Rd Off Ramp WB,Ramp,WB,1,1032,1400,NA,Continuous Mar-18,C13,105,40,1.5,55,25,1.1,NA,NA,NA,NA,NA,NA,NA
SH18 Albany Hwy Off Ramp WB,SH18 Albany Hwy Off Ramp WB,01860002,SH18 Albany Hwy Off Ramp WB,Ramp,WB,1,373,1400,NA,Any2018-scaled,C11,100,85,1.3,60,20,1.1,NA,NA,NA,NA,NA,NA,NA
SH18 Albany Hwy Off Ramp EB,SH18 Albany Hwy Off Ramp EB,01840002,SH18 Albany Hwy Off Ramp EB,Ramp,EB,1,1600,1400,NA,Any2018-scaled,C11,100,85,1.3,60,20,1.1,NA,NA,NA,NA,NA,NA,NA
SH18 Greenhithe Rd Off Ramp WB,SH18 Greenhithe Rd Off Ramp WB,01860004,SH18 Greenhithe Rd Off Ramp WB,Ramp,WB,1,560,1400,NA,Any2018-scaled,C11,100,85,1.3,60,20,1.1,NA,NA,NA,NA,NA,NA,NA
SH18 Tauhinu Rd Off Ramp EB,SH18 Tauhinu Rd Off Ramp EB,01840006,SH18 Tauhinu Rd Off Ramp EB,Ramp,EB,1,559,1400,NA,Any2018-scaled,C12,105,85,1.1,55,25,1.1,NA,NA,NA,NA,NA,NA,NA
SH18 Squadron Dr Off Ramp WB,SH18 Squadron Dr Off Ramp WB,01860008,SH18 Squadron Dr Off Ramp WB,Ramp,WB,1,506,1400,NA,Continuous Mar-18,C12,105,85,1.1,55,25,1.1,NA,NA,NA,NA,NA,NA,NA
SH18 Brigham Creek Rd Off Ramp WB,SH18 Brigham Creek Rd Off Ramp WB,01860010,SH18 Brigham Creek Rd Off Ramp WB,Ramp,WB,1,580,1400,NA,Continuous Mar-18,C12,105,85,1.1,55,25,1.1,NA,NA,NA,NA,NA,NA,NA
SH18 Brigham Creek Rd Off Ramp EB,SH18 Brigham Creek Rd Off Ramp EB,01840010,SH18 Brigham Creek Rd Off Ramp EB,Ramp,EB,1,584,1400,NA,Continuous Mar-18,C12,105,85,1.1,55,25,1.1,NA,NA,NA,NA,NA,NA,NA
SH18 Trig Rd Off Ramp WB,SH18 Trig Rd Off Ramp WB,01860012,SH18 Trig Rd Off Ramp WB,Ramp,WB,1,358,1400,NA,Continuous Mar-18,C12,105,85,1.1,55,25,1.1,NA,NA,NA,NA,NA,NA,NA
SH18 Hobsonville Rd Off Ramp WB,SH18 Hobsonville Rd Off Ramp WB,01860013,SH18 Hobsonville Rd Off Ramp WB,Ramp,WB,1,884,1400,NA,Any2018-scaled,C12,105,85,1.1,55,25,1.1,NA,NA,NA,NA,NA,NA,NA
SH20 Lambie Dr Off Ramp NB,SH20 Lambie Dr Off Ramp NB,02060001,SH20 Lambie Dr Off Ramp NB,Ramp,NB,1,796,1400,NA,Any2018-scaled,C18,90,55,1.5,65,15,1.1,NA,NA,NA,NA,NA,NA,NA
SH20 Lambie Dr Off Ramp SB,SH20 Lambie Dr Off Ramp SB,02040001,SH20 Lambie Dr Off Ramp SB,Ramp,SB,1,1405,1400,NA,Any2018-scaled,C18,90,55,1.5,65,15,1.1,NA,NA,NA,NA,NA,NA,NA
SH20 Cavendish Dr Off Ramp NB,SH20 Cavendish Dr Off Ramp NB,02060003,SH20 Cavendish Dr Off Ramp NB,Ramp,NB,1,1085,1400,NA,Any2018-scaled,C18,90,55,1.5,65,15,1.1,NA,NA,NA,NA,NA,NA,NA
SH20 Puhinui Rd Off Ramp SB,SH20 Puhinui Rd Off Ramp SB,02040004,SH20 Puhinui Rd Off Ramp SB,Ramp,SB,1,1410,1400,NA,Website Mar-18,C18,90,55,1.5,65,15,1.1,NA,NA,NA,NA,NA,NA,NA
SH20 Massey Rd Off Ramp NB,SH20 Massey Rd Off Ramp NB,02060007,SH20 Massey Rd Off Ramp NB,Ramp,NB,1,886,1400,NA,Website Mar-18,C18,90,55,1.5,65,15,1.1,NA,NA,NA,NA,NA,NA,NA
SH20 Massey Rd Off Ramp SB,SH20 Massey Rd Off Ramp SB,02040007,SH20 Massey Rd Off Ramp SB,Ramp,SB,1,576,1400,NA,Continuous Mar-18,C18,90,55,1.5,65,15,1.1,NA,NA,NA,NA,NA,NA,NA
SH20 20A Off Ramp NB,SH20 20A Off Ramp NB,02060009,SH20 20A Off Ramp NB,Ramp,NB,1,672,1400,NA,Any2018-scaled,C18,90,55,1.5,65,15,1.1,NA,NA,NA,NA,NA,NA,NA
SH20 Coronation Rd Off Ramp NB,SH20 Coronation Rd Off Ramp NB,02060011,SH20 Coronation Rd Off Ramp NB,Ramp,NB,1,452,1400,NA,Any2018-scaled,C17,100,80,1.4,50,25,1.5,NA,NA,NA,NA,NA,NA,NA
SH20 Walmsley Rd Off Ramp SB,SH20 Walmsley Rd Off Ramp SB,02040011,SH20 Walmsley Rd Off Ramp SB,Ramp,SB,1,633,1400,NA,Any2018-scaled,C17,100,80,1.4,50,25,1.5,NA,NA,NA,NA,NA,NA,NA
SH20 Rimu Rd Off Ramp SB,SH20 Rimu Rd Off Ramp SB,02040012,SH20 Rimu Rd Off Ramp SB,Ramp,SB,1,1600,1400,NA,Any2018-scaled,C17,100,80,1.4,50,25,1.5,NA,NA,NA,NA,NA,NA,NA
SH20 Neilson St Off Ramp NB,SH20 Neilson St Off Ramp NB,02060014,SH20 Neilson St Off Ramp NB,Ramp,NB,1,1174,1400,NA,Any2018-scaled,C16,100,80,1.5,50,25,1.2,NA,NA,NA,NA,NA,NA,NA
SH20 Neilson St Off Ramp SB,SH20 Neilson St Off Ramp SB,02040014,SH20 Neilson St Off Ramp SB,Ramp,SB,1,1498,1400,NA,Continuous Mar-18,C16,100,80,1.5,50,25,1.2,NA,NA,NA,NA,NA,NA,NA
SH20 Queenstown Rd Off Ramp NB,SH20 Queenstown Rd Off Ramp NB,02060015,SH20 Queenstown Rd Off Ramp NB,Ramp,NB,1,1408,1400,NA,Any2018-scaled,C16,100,80,1.5,50,25,1.2,NA,NA,NA,NA,NA,NA,NA
SH20 Hillsborough Rd Off Ramp NB,SH20 Hillsborough Rd Off Ramp NB,02060016,SH20 Hillsborough Rd Off Ramp NB,Ramp,NB,1,1026,1400,NA,Any2018-scaled,C16,100,80,1.5,50,25,1.2,NA,NA,NA,NA,NA,NA,NA
SH20 Hillsborough Rd Off Ramp SB,SH20 Hillsborough Rd Off Ramp SB,02040016,SH20 Hillsborough Rd Off Ramp SB,Ramp,SB,1,756,1400,NA,Continuous Mar-18,C16,100,80,1.5,50,25,1.2,NA,NA,NA,NA,NA,NA,NA
SH20 Dominion Rd Off Ramp NB,SH20 Dominion Rd Off Ramp NB,02060018,SH20 Dominion Rd Off Ramp NB,Ramp,NB,1,1061,1400,NA,Any2018-scaled,C16,100,80,1.5,50,25,1.2,NA,NA,NA,NA,NA,NA,NA
SH20 Dominion Rd Off Ramp SB,SH20 Dominion Rd Off Ramp SB,02040018,SH20 Dominion Rd Off Ramp SB,Ramp,SB,1,480,1400,NA,Any2018-scaled,C16,100,80,1.5,50,25,1.2,NA,NA,NA,NA,NA,NA,NA
SH20 Maioro St Off Ramp SB,SH20 Maioro St Off Ramp SB,02040020,SH20 Maioro St Off Ramp SB,Ramp,SB,1,804,1400,NA,NA,C16,100,80,1.5,50,25,1.2,NA,NA,NA,NA,NA,NA,NA
SH20 Maioro St Off Ramp NB,SH20 Maioro St Off Ramp NB,02060020,SH20 Maioro St Off Ramp NB,Ramp,NB,1,1600,1400,NA,NA,C16,100,80,1.5,50,25,1.2,NA,NA,NA,NA,NA,NA,NA
SH1 SH17 Off Ramp SB,SH1 SH17 Off Ramp SB,01N60383,SH1 SH17 Off Ramp SB,Ramp,SB,1,1600,1400,NA,Any2018-scaled,C1,100,65,1.5,60,25,1.2,NA,NA,NA,NA,NA,NA,NA
SH1 Orewa Off Ramp SB,SH1 Orewa Off Ramp SB,01N60390,SH1 Orewa Off Ramp SB,Ramp,SB,1,1400,1400,NA,Website unavailable,C1,100,65,1.5,60,25,1.2,NA,NA,NA,NA,NA,NA,NA
SH1 Orewa Off Ramp NB,SH1 Orewa Off Ramp NB,01N40390,SH1 Orewa Off Ramp NB,Ramp,NB,1,803,1400,NA,Website unavailable,C1,100,65,1.5,60,25,1.2,NA,NA,NA,NA,NA,NA,NA
SH1 Millwater Off Ramp NB,SH1 Millwater Off Ramp NB,01N40392,SH1 Millwater Off Ramp NB,Ramp,NB,1,773,1400,NA,Any2018-scaled,C1,100,65,1.5,60,25,1.2,NA,NA,NA,NA,NA,NA,NA
SH1 Silverdale Off Ramp NB,SH1 Silverdale Off Ramp NB,01N40398,SH1 Silverdale Off Ramp NB,Ramp,NB,1,1600,1400,NA,Any2018-scaled,C1,100,65,1.5,60,25,1.2,NA,NA,NA,NA,NA,NA,NA
SH1 Silverdale Off Ramp SB,SH1 Silverdale Off Ramp SB,01N60398,SH1 Silverdale Off Ramp SB,Ramp,SB,1,488,1400,NA,Website Mar-19,C1,100,65,1.5,60,25,1.2,NA,NA,NA,NA,NA,NA,NA
SH1 Oteha Valley Rd Off Ramp SB,SH1 Oteha Valley Rd Off Ramp SB,01N60410,SH1 Oteha Valley Rd Off Ramp SB,Ramp,SB,1,1154,1400,NA,Website unavailable,C2,100,35,1.5,65,25,1.1,NA,NA,NA,NA,NA,NA,NA
SH1 Oteha Valley Rd Off Ramp NB,SH1 Oteha Valley Rd Off Ramp NB,01N40410,SH1 Oteha Valley Rd Off Ramp NB,Ramp,NB,1,1295,1400,NA,Any2018-scaled,C2,100,35,1.5,65,25,1.1,NA,NA,NA,NA,NA,NA,NA
SH1 Greville Rd Off Ramp SB,SH1 Greville Rd Off Ramp SB,01N60412,SH1 Greville Rd Off Ramp SB,Ramp,SB,1,1029,1400,NA,Website unavailable,C2,100,35,1.5,65,25,1.1,NA,NA,NA,NA,NA,NA,NA
SH1 Greville Rd Off Ramp NB,SH1 Greville Rd Off Ramp NB,01N40412,SH1 Greville Rd Off Ramp NB,Ramp,NB,1,1600,1400,NA,Any2018-scaled,C2,100,35,1.5,65,25,1.1,NA,NA,NA,NA,NA,NA,NA
SH1 Upper Harbour Hwy Off Ramp NB,SH1 Upper Harbour Hwy Off Ramp NB,01N40414,SH1 Upper Harbour Hwy Off Ramp NB,Ramp,NB,1,1418,1400,NA,Any2018-scaled,C3,85,35,1.5,55,20,1.4,NA,NA,NA,NA,NA,NA,NA
SH1 Upper Harbour Hwy Off Ramp SB,SH1 Upper Harbour Hwy Off Ramp SB,01N60414,SH1 Upper Harbour Hwy Off Ramp SB,Ramp,SB,1,894,1400,NA,Website unavailable,C2,100,35,1.5,65,25,1.1,NA,NA,NA,NA,NA,NA,NA
SH1 Tristram Ave Off Ramp SB,SH1 Tristram Ave Off Ramp SB,01N60417,SH1 Tristram Ave Off Ramp SB,Ramp,SB,1,827,1400,NA,Website unavailable,C3,85,35,1.5,55,20,1.4,NA,NA,NA,NA,NA,NA,NA
SH1 Tristram Ave Off Ramp NB,SH1 Tristram Ave Off Ramp NB,01N40417,SH1 Tristram Ave Off Ramp NB,Ramp,NB,1,1600,1400,NA,Any2018-scaled,C3,85,35,1.5,55,20,1.4,NA,NA,NA,NA,NA,NA,NA
SH1 Northcote Rd Off Ramp SB,SH1 Northcote Rd Off Ramp SB,01N60419,SH1 Northcote Rd Off Ramp SB,Ramp,SB,1,994,1400,NA,Website unavailable,C4,100,85,1.3,55,25,1.3,NA,NA,NA,NA,NA,NA,NA
SH1 Northcote Rd Off Ramp NB,SH1 Northcote Rd Off Ramp NB,01N40419,SH1 Northcote Rd Off Ramp NB,Ramp,NB,1,765,1400,NA,Continuous Mar-18,C4,100,85,1.3,55,25,1.3,NA,NA,NA,NA,NA,NA,NA
