SiteBlock,SiteBlock2,SiteIDLookUp,Description,RampMain,Direction,LaneNumbs,TotalCapacity,TMPCapacity,RampReroute,DataSource,Cluster,FreeSpeedM,ScM,NM,FreeSpeedD,ScD,ND,DetourPlan,DetourDistance,DetourSpeed,Distance,Speed ,DetourCap,DetourDelay
SH16_Eastbound_between_Patiki_Road_Off-ramp_and_207,SH16 EB PatikiRoad Offramp ,01629008,SH16 Rosebank Rd On Ramp to Great Nth Rd Off Ramp EB,Mainline,EB,4,7200,1400,01640010,Website Mar-19,C15,70,25,1.5,40,25,1.5,SH16_152,2.5,40,1.9,105,1200,2.664285714
SH16_Westbound_between_Rosebank_Road_Off-ramp_and_208,SH16 WB RosebankRoad Offramp ,01610009,SH16 Rosebank Rd Off Ramp to Patiki Rd On Ramp WB,Mainline,WB,4,7200,1400,01660009,Any2018-scaled,C14,90,35,1.5,50,30,1.5,SH16_128,2.4,40,1.9,105,1200,2.514285714
SH16_Eastbound_between_Great_North_Road_Off-ramp_and_209,SH16 EB GreatNorthRoad Offramp ,01620007,SH16 Great Nth Rd On Ramp to St Lukes Rd Off Ramp EB,Mainline,EB,4,7200,1400,01640008,Website Mar-19,C15,70,25,1.5,40,25,1.5,SH16_154,4,40,3.9,105,1200,3.771428571
SH16_Westbound_between_Great_North_Road_Off-ramp_and_210,SH16 WB GreatNorthRoad Offramp,01619008,SH16 Great Nth Rd On Ramp to Rosebank Rd Off Ramp WB,Mainline,WB,5,9000,1400,01660008,Website Mar-19,C15,70,25,1.5,40,25,1.5,SH16_127,8.2,40,4.9,105,1200,9.5
SH16_Eastbound_between_Western_Springs_Off-Ramp_and_211,SH16 EB WesternSprings OffRamp ,01620005,SH16 St Lukes Rd On Ramp to Newton Rd Off Ramp EB,Mainline,EB,4,7600,1400,01640006,Website Mar-18,C15,70,25,1.5,40,25,1.5,SH16_155,8.2,40,6,100,1200,8.7
SH16_Westbound_between_St_Lukes_Road_Off-ramp_and_212,SH16 WB StLukesRoad Offramp ,01610005,SH16 Newton Rd On Ramp to St Lukes Rd Off Ramp WB,Mainline,WB,4,7200,1400,01660006,Website Year2014,C15,70,25,1.5,40,25,1.5,SH16_126,4,40,3.8,105,1200,3.828571429
SH16_Eastbound_between_Newton_Road_Off-ramp_and_213,SH16 EB NewtonRoadOframp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH16_Eastbound_between_SH16_EB_-_SH1_NB_Link_and_214,SH16 EB SH16EB to SH1NBLink ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH16_Eastbound_between_Nelson_Street_-_SH1_NB_Link_(Both_Links_Closed)_and_SH1_Northbound_215,SH16 EB NelsonStreet-SH 1NBLink(BothLinksClosed)SH,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH16_Eastbound_between_SH16_EB_-_SH1_SB_Link_and_216,SH16 EB SH16EB to SH 1SBLink,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH16_Eastbound_between_SH16_EB_to_SH16_Port_and_217,SH16 EB SH16EB to SH 16Port,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH16_Eastbound_between_Wellesley_Street_Off-ramp_and_218,SH16 EB WellesleyStreet Offramp ,01620001,SH16 Grafton Rd On Ramp to Alten Rd EB,Mainline,EB,3,5400,1400,01640002,Website Mar-19,C5,95,70,1.1,55,15,1.1,SH16_116,1.7,60,1.3,80,1200,0.725
SH16_Westbound_between_SH16_Stanley_Street_Off-ramp_and_220,SH16 WB SH16StanleyStreet Offramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH16_Westbound_between_SH16_WB_-_SH1_SB_Link_and_221,SH16 WB SH 16WB-SH,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH16_Westbound_between_SH16_WB_-_SH1_NB_Link_and_222,SH16 WB SH16 WB SH1 NB Link ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH1_Southbound_between_Hibiscus_Coast_Highway_SB_Off-ramp_and_223,SH1 SB Hibiscus Coast Highway SB Off ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH1_Southbound_between_Grand_Drive_Off-ramp_and_224,SH1 SB Gr Drive Off ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH1_Northbound_between_Grand_Drive_Off-ramp_and_225,SH1 NB Gr Drive Off ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH1_Southbound_between_Silverdale_Off-ramp_and_226,SH1 SB Silverdale Off ramp ,01N10398,SH1 Silverdale Interchange SB,Mainline,SB,2,3600,1400,01N60398,Continuous Mar-19,C1,100,65,1.5,60,25,1.2,SH1_63,18.3,90,12.9,105,1865.769231,4.828571429
SH1_Northbound_between_Silverdale_Off-ramp_and_227,SH1 NB Silverdale Off ramp ,01N20391,SH1 Silverdale On Ramp to Orewa Off Ramp NB,Mainline,NB,2,3600,1400,01N40398,Any2018-scaled,C1,100,65,1.5,60,25,1.2,SH1_61,17.7,60,13.2,105,1200,10.15714286
SH1_Southbound_between_Oteha_Valley_Road_Off-ramp_and_228,SH1 SB Oteha Valley Road Off ramp ,01N10410,SH1 Oteha Valley Rd Interchange SB,Mainline,SB,2,3600,1400,01N60410,Any2018-scaled,C2,100,35,1.5,65,25,1.1,SH1_64,5.3,50,3.2,105,1200,4.531428571
