Site Block,SiteID LookUp,Description,Ramp/Mainline,SH,RS,RP,Direction,Number of Lane(s),Normal Total Capacity,Mon_Thu,Fri,Sat,Sun,Seasonal,Normal Capacity per Lane,TMP Capacity,Ramp reroute,Detour Plan Ref,DataSource
SH1 Nikau Rd Off Ramp NB,01N40475,SH1 Nikau Rd Off Ramp NB,Ramp,1N,461,13.81,NB,1,1400,17.00355111,29.92410784,22.99039252,17.34209528,0,1400,1400,,#N/A,Any2018-scaled
SH1 SH2 Off Ramp SB,01N60477,SH1 SH2 Off Ramp SB,Ramp,1N,461,15.65,SB,1,1080,628.95,955.2,1008.8,758,1080,1080,1400,,#N/A,Continuous Mar-18
SH1_Southbound_between_Fanshawe_Street_and_Cook_Street_1,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH1_Southbound_between_Fanshawe_Street_and_Symonds_Street_2,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH1_Southbound_between_Fanshawe_Street_and_Hobson_Street_3,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH1_Southbound_between_Fanshawe_Street_and_Khyber_Pass_Road_4,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH1_Southbound_between_Fanshawe_Street_and_St_Marks_Road_5,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH1_Southbound_between_Gillies_Avenue_and_St_Marks_Road_6,01N19431,SH1 St Marks Rd On Ramp to Market Rd Off Ramp SB,Mainline,1N,431,0.3,SB,5,9000,7155.709612,7511.790736,8244.079596,6318.16962,0,1800,1400,01N60431,SH1_6,Any2018-scaled
SH1_Southbound_between_Gillies_Avenue_and_Greenlane_East_7,01N19431,SH1 St Marks Rd On Ramp to Market Rd Off Ramp SB,Mainline,1N,431,0.3,SB,5,9000,7155.709612,7511.790736,8244.079596,6318.16962,0,1800,1400,01N60431,SH1_6,Any2018-scaled
SH1_Southbound_between_Market_Road_and_Greenlane_East_8,01N10432,SH1 Market Rd Off Ramp to Greenlane East Off Ramp SB,Mainline,1N,431,1.2,SB,4,7200,6270.1,6128.6,6187.4,5838,0,1800,1400,01N60432,SH1_8,Website Mar-18
SH1_Southbound_between_Green_Lane_East_and_Ellerslie-Panmure_Highway_9,01N10433,SH1 Greenlane East Interchange SB,Mainline,1N,431,1.93,SB,3,6300,5296.961596,5683.566784,6001.835384,4543.739008,0,2100,1400,01N60433,SH1_9,Any2018-scaled
SH1_Northbound_between_Ellerslie-Panmure_Highway_and_Mt_Wellington_Highway_10,01N20435,SH1 Ellerslie Panmure Hwy Interchange NB,Mainline,1N,431,4.26,NB,3,5400,#N/A,#N/A,#N/A,#N/A,0,1800,1400,01N40435,SH1_10,Website Year2014
