Ref,SH,Plan Number,Detour Distance (km),Detour Speed (km/hr),Normal Distance ,Normal Speed ,Urban Road Class,Minimum # lane for Urban Road,Rural Road Directional Split,Rural Road Roadway Width,Terrain Type,% of Heavy Vehicle,Other Manual Capacity Input?,Detour Travel Time (min/veh),Normal Travel Time (min/veh),Rural Road Directional Adjustement,Rural Road Roadway Width Adjustement,Rural Road % Heavy Vehicle Adjustement,Urban Road Capacity,Rural Road Capacity,Detour Capacity (veh/hr),Detour Delay (min/veh),,,(for Input tab),,(From detour),,,
SH1S_22,SH1S,22,3.9,90,2.2,105,,,90/10,6 metres,level,0.01,,2.6,1.257142857,0.77,0.82,0.988142292,-,1572.26087,1572.26087,1.342857143,http://g.co/maps/fh265,,1060471.23,01N60471,"Jasmine Lau:
closure between Bombay On-Ramp and Beaver Rd Off-Ramp SBD",,,
SH1S_23,SH1S,23,3.2,90,1.6,105,,,90/10,6 metres,level,0.01,,2.133333333,0.914285714,0.77,0.82,0.988142292,-,1572.26087,1572.26087,1.219047619,http://g.co/maps/d4u28,,1060473.13,01N60473,"Jasmine Lau:
closure between Beaver Rd Off-Ramp and Nikau Rd Off-Ramp SBD",,,
SH1S_24,SH1S,24,7.8,80,5.1,105,,,90/10,6 metres,level,0.01,,5.85,2.914285714,0.77,0.82,0.988142292,-,1572.26087,1572.26087,2.935714286,http://g.co/maps/4t84k,,1060474.29,01N60474,"Jasmine Lau:
closure between Nikau Rd On-Ramp and Razorback Rd Off-Ramp SBD",,,
SH1S_25,SH1S,25,5,80,3.3,105,,,90/10,6 metres,level,0.01,,3.75,1.885714286,0.77,0.82,0.988142292,-,1572.26087,1572.26087,1.864285714,http://g.co/maps/24qxz,,1060476,01N60476,"Jasmine Lau:
closure between Razorback Rd Off-Ramp and SH2 Off-Ramp SBD",,,
SH1S_26,SH1S,26,4.8,80,3.2,105,,,90/10,6 metres,level,0.01,,3.6,1.828571429,0.77,0.82,0.988142292,-,1572.26087,1572.26087,1.771428571,http://g.co/maps/km9cr,,1050476.04,01N50476,"Jasmine Lau:
closure between SH2 On-Ramp and Helenslee Rd On-Ramp NBD
",,,
SH1S_27,SH1S,27,6.7,80,5.1,105,,,90/10,6 metres,level,0.01,,5.025,2.914285714,0.77,0.82,0.988142292,-,1572.26087,1572.26087,2.110714286,http://g.co/maps/5btvd,,1050474.28,01N50474,"Jasmine Lau:
closure between Helenslee Rd On-Ramp and Ridge Rd Off-Ramp NBD",,,
SH1S_28,SH1S,28,5.4,90,3.8,105,,,90/10,6 metres,level,0.01,,3.6,2.171428571,0.77,0.82,0.988142292,-,1572.26087,1572.26087,1.428571429,http://g.co/maps/bz5up,,1040474.81,01N40474,"Jasmine Lau:
closure between Ridge Rd On-Ramp and Beaver Rd Off-Ramp NBD",,,
SH1S_29,SH1S,29,8.3,90,2.7,105,,,90/10,6 metres,level,0.01,,5.533333333,1.542857143,0.77,0.82,0.988142292,-,1572.26087,1572.26087,3.99047619,http://g.co/maps/d297z,,1040473.5,01N40473,"Jasmine Lau:
closure between Beaver Rd On-Ramp and Bombay Off-Ramp NBD",,,
SH1S_30,SH1S,30,8.4,90,6.9,105,,,90/10,=> 8 metres,level,0.01,,5.6,3.942857143,0.77,1,0.988142292,-,1917.391304,1917.391304,1.657142857,http://g.co/maps/wte92,,1040471.9,01N40471,"Jasmine Lau:
closure between Bombay On-Ramp and Ramarama Off-Ramp NBD",,,
SH1S_31,SH1S,31,6.5,90,5.6,105,,,90/10,=> 8 metres,level,0.01,,4.333333333,3.2,0.77,1,0.988142292,-,1917.391304,1917.391304,1.133333333,http://g.co/maps/zsxuy,,1040465.88,01N40465,"Jasmine Lau:
closure between Ramarama On-Ramp and Drury Off-Ramp NBD",,,
