SH,Dir,Block ID,Ward,Comments,From,,To,,Closure  Resourcing Type,Cost (est.),Closure Type,ETA Shifts,Critical Asset Regular Maintenance,Detour Via,Site Block,Normal length ,Detour length,Mainline Time,Detour Time,Delay,Detour map
SH18,EB,18d1,North,NCI,Albany Hwy,SH18 Albany Hwy Interchange EB,Constellation Dr,SH18 West of Paul Mathews Rd EB,L,7615.44,Full Closure,0,,Paul Matthews Road,SH18 Albany Hwy to Constellation Dr EB,2.3,2.9,3,5,2,Link to map - PLACEHOLDER
,,,,,,,,,,,,,,,,,,,,0,Link to map - PLACEHOLDER
SH18,WB,18i1,North,NCI,Constellation Dr,SH18 West of Unsworth Dr WB,Albany Hwy,SH18 Albany Hwy Interchange WB,O,11319,Full Closure,0,,Paul Matthews Road,SH18 Constellation Dr to Albany Hwy WB,2.3,2.9,3,5,2,Link to map - PLACEHOLDER
SH18,WB,18i2,North,,Albany Hwy,SH18 Albany Hwy Interchange WB,Squadron Dr,SH18 Squadron Dr Off Ramp to Brigham Creek Rd Off Ramp WB,P,15655.5,Full + Contraflow,NA,,Upper Harbour Dr,SH18 Albany Hwy to Squadron Dr WB,6,6.5,5,7,2,Link to map - PLACEHOLDER
SH18,WB,18i3,North,,Squadron Dr,SH18 Squadron Dr Off Ramp to Brigham Creek Rd Off Ramp WB,Westgate,SH18 Northwestern Off Ramp WB,L,7615.44,Full Closure,NA,,Hobsonville Road,SH18 Squadron Dr to Westgate WB,4.9,5.2,4,9,5,Link to map - PLACEHOLDER
,,,,,,,,,,,,,,,,,,,,0,Link to map - PLACEHOLDER
SH20,SB,20d6,Central,WVT,Waterview/Maioro St,SH20 Maioro St Interchange SB,Hillsborough Rd,SH20 Hillsborough Rd Interchange SB,L,7615.44,Full Closure,NA,Waterview SB,"Great North Road, Blockhouse Bay Rd, Tiverton/New Windsor Rd, Richardson Rd",SH20 Waterview/Maioro St to Hillsborough Rd SB,5.1,6.1,4,10,6,Link to map - PLACEHOLDER
SH20,SB,20d5,Central,,Hillsborough Rd,SH20 Hillsborough Rd Interchange SB,Neilson St,SH20 Neilson St Interchange SB,O,11319,Full Closure,NA,,"Mt Albert Rd, Queenstown Rd, Beachcroft Rd, Church St, Sylwyn St",SH20 Hillsborough Rd to Neilson St SB,2.2,4.6,2,8,6,Link to map - PLACEHOLDER
SH20,SB,20d4,Central,,Neilson St,SH20 Neilson St Interchange SB,Rimu Rd/Mahunga Dr,SH20 Rimu Rd Off Ramp to Walmsley Rd Off Ramp SB,L,7615.44,Multi-Lane,1,,Only 1 lane stays open,SH20 Neilson St to Rimu Rd/Mahunga Dr SB,1.9,NA,2,,0,Link to map - PLACEHOLDER
SH20,SB,20d3,Central,,Rimu Rd/Mahunga Dr,SH20 Rimu Rd Off Ramp to Walmsley Rd Off Ramp SB,Massey Rd,SH20 Massey Rd Interchange SB,L,7615.44,Full Closure,1,,"Mahunga Dr, Walmsley Rd, Robertson Road",SH20 Rimu Rd/Mahunga Dr to Massey Rd SB,4.5,4.9,3,7,4,Link to map - PLACEHOLDER
SH20,SB,20d2,Central,,Massey Rd,SH20 Massey Rd Interchange SB,Puhinui Rd,SH20 Puhinui Rd Interchange SB,L,7615.44,Full Closure,1,,"Buckland Rd, Portage/Station Rd, Wyllie Road",SH20 Massey Rd to Puhinui Rd SB,3.2,5.3,3,8,5,Link to map - PLACEHOLDER
SH20,SB,20d1,Central,,Puhinui Rd,SH20 Puhinui Rd Interchange SB,Manukau/SH1,SH20 Southern Link to SH1N Off Ramp SB,P,15655.5,Full Closure,NA,,"Noel Burnside, Cavendish Rd, Great Sth Rd",SH20 Puhinui Rd to Manukau/SH1 SB,4.2,4.9,3,7,4,Link to map - PLACEHOLDER
,,,,,,,,,,,,,,,,,,,,0,Link to map - PLACEHOLDER
SH20,NB,20i1,Central,,Manukau/SH1,SH20 SH1N / Redoubt Rd On Ramp to Lambie Dr Off Ramp NB,Puhinui Rd,SH20 Puhinui Rd to Massey Rd NB,P,15655.5,Full Closure,NA,,"Noel Burnside, Cavendish Rd, Great Sth Rd",SH20 Manukau/SH1 to Puhinui Rd NB,4.2,4.9,3,7,4,Link to map - PLACEHOLDER
